date,price,total_volume,market_cap,coin_name
2016-06-18 00:00:00.000,1.983819050878718,2462104.779261552,24168232.67475914,monero
2016-06-19 00:00:00.000,1.8716755048265656,626743.4642796228,22818290.47095295,monero
2016-06-20 00:00:00.000,1.7780172112345396,544250.7081302584,21691920.21412848,monero
2016-06-21 00:00:00.000,1.6137207976649437,507217.8447171828,19700924.78040073,monero
2016-06-22 00:00:00.000,1.5129320926095076,364222.2267277021,18483388.49602806,monero
2016-06-23 00:00:00.000,1.5582145767903353,186710.90466348923,19049587.686339278,monero
2016-06-24 00:00:00.000,1.5777660935495643,199637.2253904805,19301836.59258653,monero
2016-06-25 00:00:00.000,1.5437840624327186,152824.43608646572,18899804.17244568,monero
2016-06-26 00:00:00.000,1.4802861725373602,71532.40040654584,18134176.183218826,monero
2016-06-27 00:00:00.000,1.4817432543617035,173185.31840250027,18165551.44805091,monero
2016-06-28 00:00:00.000,1.4778812047983834,158996.17203794894,18130611.15131765,monero
2016-06-29 00:00:00.000,1.5387709741232165,288373.72760566435,18890974.222263426,monero
2016-06-30 00:00:00.000,1.6212673232303971,303833.97484580416,19916776.200619165,monero
2016-07-01 00:00:00.000,1.6779982773760955,147138.42124764604,20628577.536814507,monero
2016-07-02 00:00:00.000,1.6886916077372205,133900.74236719005,20766850.537926026,monero
2016-07-03 00:00:00.000,1.721802213764919,302534.7505030618,21196866.00134999,monero
2016-07-04 00:00:00.000,1.6987019646677934,144217.184074962,20927459.523972627,monero
2016-07-05 00:00:00.000,1.7300363317612732,152096.58638348742,21327893.08806197,monero
2016-07-06 00:00:00.000,1.9342640253662504,505355.5553043448,23861309.260073066,monero
2016-07-07 00:00:00.000,1.8984534005635851,1497252.0120453788,23436543.918602303,monero
2016-07-08 00:00:00.000,1.960786614468885,421242.2447930048,24222038.22552239,monero
2016-07-09 00:00:00.000,1.964790450697284,312538.8343037559,24287886.832464226,monero
2016-07-10 00:00:00.000,1.9110378785039936,222932.73904002595,23639509.891526222,monero
2016-07-11 00:00:00.000,1.9777537788640835,207256.2934086425,24481413.53201472,monero
2016-07-12 00:00:00.000,2.007017994995646,333736.3807851212,24860925.88295709,monero
2016-07-13 00:00:00.000,1.941237520631682,285637.5427059207,24061617.714616973,monero
2016-07-14 00:00:00.000,1.9518110937878856,296109.8550845044,24209425.528574605,monero
2016-07-15 00:00:00.000,1.9698990712947304,298853.98765725724,24450410.911699053,monero
2016-07-16 00:00:00.000,1.9930968025691853,67558.34999794207,24754320.08771656,monero
2016-07-17 00:00:00.000,1.9999878178483432,166960.7465039381,24856264.59768532,monero
2016-07-18 00:00:00.000,1.9584082166461565,106649.30489382714,24356979.54190463,monero
2016-07-19 00:00:00.000,1.9067666314285217,200276.26508795557,23729886.15065804,monero
2016-07-20 00:00:00.000,1.8665316727026693,176044.4152842847,23235950.696455576,monero
2016-07-21 00:00:00.000,1.737452678837221,135696.5630723655,21650265.784587026,monero
2016-07-22 00:00:00.000,1.8121007890391376,154272.0384152367,22595418.16507419,monero
2016-07-23 00:00:00.000,1.8241575563610093,155298.48356811906,22760199.894787066,monero
2016-07-24 00:00:00.000,1.8806002798879176,158759.59178880576,23480016.64490813,monero
2016-07-25 00:00:00.000,1.8555356834675216,87988.4271240427,23181557.98980392,monero
2016-07-26 00:00:00.000,1.8153803119147,258803.3362644396,22694906.16956945,monero
2016-07-27 00:00:00.000,1.944107709559002,277715.2291764757,24319718.18734286,monero
2016-07-28 00:00:00.000,1.8433856286634345,186429.0875636196,23075009.115646016,monero
2016-07-29 00:00:00.000,1.89302910309255,106818.8200758345,23712370.28576095,monero
2016-07-30 00:00:00.000,1.9113895151327391,70350.01287155796,23957862.70089526,monero
2016-07-31 00:00:00.000,1.8128053178688963,139879.80992298236,22736788.020024054,monero
2016-08-01 00:00:00.000,1.692947964848935,162961.15830781,21247500.87699729,monero
2016-08-02 00:00:00.000,1.4117221078143478,266466.44919409096,17728308.82110714,monero
2016-08-03 00:00:00.000,1.570935389602665,171145.1959056944,19741132.867540263,monero
2016-08-04 00:00:00.000,1.8591147462530428,504614.1331822543,23377098.15876032,monero
2016-08-05 00:00:00.000,1.7950346924982286,132506.0347162258,22586743.827270653,monero
2016-08-06 00:00:00.000,1.8782838102985415,249643.2014116354,23648092.79515218,monero
2016-08-07 00:00:00.000,1.8964147683296744,255511.8410114484,23891903.705795903,monero
2016-08-08 00:00:00.000,1.916616551378325,192405.40160374405,24161431.731941275,monero
2016-08-09 00:00:00.000,2.0386676433204,245224.39484185132,25715360.18998836,monero
2016-08-10 00:00:00.000,2.017131657963469,206157.8438494856,25461242.33551223,monero
2016-08-11 00:00:00.000,1.9913662434364103,165074.67643964424,25151405.70337288,monero
2016-08-12 00:00:00.000,1.987704642984467,164771.1473867399,25120909.43373414,monero
2016-08-13 00:00:00.000,1.980713056260521,115506.61813058016,25048485.529229578,monero
2016-08-14 00:00:00.000,1.975692330919856,316831.5827668113,24999802.242221937,monero
2016-08-15 00:00:00.000,2.1958880666010963,787069.4255220069,27804822.186453864,monero
2016-08-16 00:00:00.000,2.195330297834734,749706.8039633147,27814261.892358348,monero
2016-08-17 00:00:00.000,2.2229570437345814,445234.66675430175,28182349.301266115,monero
2016-08-18 00:00:00.000,2.162853247941972,365422.5287925899,27438261.26569982,monero
2016-08-19 00:00:00.000,2.2943648051281063,314738.0854750557,29123613.722850624,monero
2016-08-20 00:00:00.000,2.444682758884357,1833927.623498512,31051084.278948966,monero
2016-08-21 00:00:00.000,2.5326333711033917,788629.441704209,32187153.936451755,monero
2016-08-22 00:00:00.000,4.294502392795717,18601185.84947094,54614264.849283725,monero
2016-08-23 00:00:00.000,4.600108354981653,21178780.52038056,58539971.50176677,monero
2016-08-24 00:00:00.000,4.425438648350407,6420591.440183781,56351358.432279095,monero
2016-08-25 00:00:00.000,4.1641941647687455,7492393.753896514,53059112.67055383,monero
2016-08-26 00:00:00.000,4.177906717513859,5682586.671502117,53263765.085793056,monero
2016-08-27 00:00:00.000,4.971299524721866,6722947.4958309205,63419474.53541887,monero
2016-08-28 00:00:00.000,9.284836841372028,62363601.84855838,118515399.23251966,monero
2016-08-29 00:00:00.000,8.585898036820147,43395298.1367386,109665220.0574652,monero
2016-08-30 00:00:00.000,8.426700514137064,15633522.254105356,107693957.26691587,monero
